CaseUID,Province,Harvest,date_harvested,year_harvested,time,easting,northing,Species,Sex,CWD_Status,e_min,e_aver,Dtown,Driver,Dstreams,Droad,rugg3,rugg6,rugg12,Road3km,Stream3km,Pcover3,Pagri3,Pgrass3,Popen3,Road6km,Stream6km,Pcover6,Pagri6,Pgrass6,Popen6,Road12km,Stream12km,Pcover12,Pagri12,Pgrass12,Popen12,m_aver,m_min,w_aver,w_min
22922,Alberta,Hunter,29/11/2009,2009,8,479091,5928936,white-tailed deer,male,negative,60.8463833,132.2902478,17.202899,27.0823,400,0,19.481899,21.679399,23.6618,4262.069325,4254.083214,0,0.991009889,0.009592326,1,7516.711652,6857.041749,0,0.960684274,0.040011989,0.99969988,11364.08594,9200.482189,0.012520618,0.931548958,0.044609387,0.975708502,4.618436009,4.331986499,48.15637045,46.89199146
22927,Alberta,Hunter,22/11/2009,2009,8,529763.451,5899230.325,white-tailed deer,male,negative,28.72320113,81.24697757,17.710199,17.659,316.227996,800,6.43337,6.993609,10.1217,3501.15869,715.06307,0.032993401,0.952609478,0.003596044,0.956208758,7990.764282,2451.509225,0.035698215,0.94180291,0.01094781,0.952752362,12899.31076,7774.443218,0.066611719,0.908362056,0.015668341,0.924097108,1.831279293,1.612505021,7.923889527,7.243146121
22937,Alberta,Hunter,03/12/2009,2009,8,493600,5850400,white-tailed deer,male,negative,10.51189802,94.4632131,14.623999,1.52643,509.902008,200,4.8996,13.467599,24.5046,3351.293273,669.727618,0.889555822,0,0.111177705,0.110444178,4529.70274,1669.049215,0.865148337,0,0.129032258,0.128708421,7187.486157,5902.065083,0.750880612,0,0.210064497,0.209023458,1.277034367,0.42007124,3.139304836,0.356649109
22940,Alberta,Hunter,12/11/2009,2009,8,519569.883,5797197.312,white-tailed deer,male,negative,38.05977007,94.40830383,15.6119,10.4139,707.106994,600,8.315239,9.390979,10.074999,2173.570635,763.844369,0.298650675,0.502248876,0.058400719,0.56101949,3977.815053,1423.843693,0.208908218,0.565986803,0.077511244,0.645170966,9175.477305,3329.824549,0.16490518,0.562701447,0.103717026,0.666966494,1.467280707,1.050150313,3.664766423,1.91803725
22943,Alberta,Hunter,29/11/2009,2009,8,503140.235,5936482.22,white-tailed deer,male,negative,38.16649155,120.2434455,8.43801,23.1573,141.421005,800,15.731499,16.591699,17.300699,2232.480425,3742.706482,0.022488756,0.892053973,0.071771772,0.965517241,5381.837502,7940.246823,0.012595592,0.901934323,0.078410795,0.98125656,9047.687613,15469.89246,0.006300158,0.863046576,0.121991452,0.986349659,2.69591137,2.372535543,33.15795018,31.8145683
22945,Alberta,Hunter,16/11/2009,2009,8,545990.894,5787679.217,white-tailed deer,male,negative,30.52949113,89.20870577,12.2004,38.394298,2102.379882,500,5.161439,7.94144,9.04996,2788.44077,0,0.077038369,0.900779376,0,0.900779376,5065.058975,0,0.091086435,0.881902761,0.007942455,0.889255702,7692.353355,0,0.099422659,0.829571868,0.035770529,0.864962135,2.011442583,1.64365471,5.210468703,3.545171457
22946,Alberta,Hunter,15/11/2009,2009,8,545990.894,5787679.217,white-tailed deer,male,negative,30.52949113,89.20870577,12.2004,38.394298,2102.379882,500,5.161439,7.94144,9.04996,2788.44077,0,0.077038369,0.900779376,0,0.900779376,5065.058975,0,0.091086435,0.881902761,0.007942455,0.889255702,7692.353355,0,0.099422659,0.829571868,0.035770529,0.864962135,2.011442583,1.64365471,5.210468703,3.545171457
22948,Alberta,Hunter,02/12/2009,2009,8,547798.865,5774359.11,white-tailed deer,male,negative,43.49155493,100.2362975,25.1336,45.570301,1700,800,7.295129,6.889969,6.50043,1206.670011,0,0.186394966,0.272100689,0.539868106,0.813605034,3646.483488,0,0.231657914,0.386346587,0.379294824,0.766091523,6046.291943,403.169018,0.20662768,0.459214275,0.323489732,0.783325836,1.896314555,1.552354429,5.525795437,4.003584459
22951,Alberta,Hunter,19/11/2009,2009,8,477879.204,5877883.548,white-tailed deer,male,negative,38.03878249,112.3134628,15.954,26.449199,4477.720214,316.227996,3.20074,4.41618,6.067739,4709.979161,0,0,0.997301349,0,0.997301349,9308.952029,0,0,0.990260713,0,0.990260713,15376.40752,0,0.004720162,0.98666367,0,0.98666367,80.98899717,80.51914721,2575.29318,2573.47115
22954,Alberta,Hunter,04/11/2009,2009,8,538871.723,5794586.731,white-tailed deer,male,negative,26.39189889,86.18916388,11.0535,29.2674,1711.71997,200,4.309279,5.0446,6.834619,1984.929148,0,0,0.990715783,0,0.990715783,4016.051392,0,0,0.993255396,0.002098951,0.995353717,12435.217,555.615787,0,0.973989956,0.008244641,0.982010344,5.751351199,5.361153123,6851.552504,6849.871916
22959,Alberta,Hunter,19/11/2009,2009,8,517892.254,5808522.949,white-tailed deer,male,negative,34.34101173,88.05391182,6.132699,4.11461,2370.649902,900,4.772019,6.365709,8.055109,1048.131581,0,0.002097693,0.722205574,0.03055722,0.753670962,2218.733971,0,0.019043335,0.786174839,0.029244151,0.815414605,3548.781862,0,0.03120078,0.830345759,0.024960648,0.855321383,2.450588627,2.003182131,9.80238067,7.963036073
