"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"550","CIMARRON RIVER BASIN","SC","SC593","5/19/15",1158,37.03014,-99.47889,11040008,4219.12922453704,2015,1.57
"551","CIMARRON RIVER BASIN","SC","SC593","8/25/15",1152,37.03014,-99.47889,11040008,4317.12505787037,2015,0.675
"552","CIMARRON RIVER BASIN","SC","SC593","11/17/15",1114,37.03014,-99.47889,11040008,4401.09866898148,2015,0.375
"553","UPPER ARKANSAS RIVER BASIN","SC","SC595","2/23/15",1314,38.45259,-99.919406,11030007,4134.18200231481,2015,0.545
"554","UPPER ARKANSAS RIVER BASIN","SC","SC595","5/18/15",1256,38.45259,-99.919406,11030007,4218.16950231481,2015,0.855
"555","UPPER ARKANSAS RIVER BASIN","SC","SC595","8/24/15",1352,38.45259,-99.919406,11030007,4316.2083912037,2015,1.145
"556","UPPER ARKANSAS RIVER BASIN","SC","SC595","11/16/15",1322,38.45259,-99.919406,11030007,4400.18755787037,2015,0.625
"557","UPPER ARKANSAS RIVER BASIN","SC","SC596","2/23/15",1239,38.46775,-99.56697,11030008,4134.15769675926,2015,0.435
"558","UPPER ARKANSAS RIVER BASIN","SC","SC596","5/18/15",1225,38.46775,-99.56697,11030008,4218.14797453704,2015,1.61
"559","UPPER ARKANSAS RIVER BASIN","SC","SC596","8/24/15",1305,38.46775,-99.56697,11030008,4316.17575231481,2015,1.375
"560","UPPER ARKANSAS RIVER BASIN","SC","SC598","5/18/15",1000,37.96984,-101.12888,11030001,4218.04728009259,2015,3.825
"561","UPPER ARKANSAS RIVER BASIN","SC","SC598","8/24/15",1010,37.96984,-101.12888,11030001,4316.05422453704,2015,2.125
"562","UPPER ARKANSAS RIVER BASIN","SC","SC598","11/16/15",958,37.96984,-101.12888,11030001,4400.0458912037,2015,2.825
"563","CIMARRON RIVER BASIN","SC","SC600","5/18/15",1508,37.032942,-100.211005,11040007,4218.26116898148,2015,0.745
"564","CIMARRON RIVER BASIN","SC","SC600","8/24/15",1525,37.032942,-100.211005,11040007,4316.27297453704,2015,1.475
"565","CIMARRON RIVER BASIN","SC","SC600","11/16/15",1705,37.032942,-100.211005,11040007,4400.34241898148,2015,0.725
"566","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC602","1/5/15",832,39.27971,-95.10509,10270104,4084.98616898148,2015,2.095
"567","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC602","4/20/15",830,39.27971,-95.10509,10270104,4189.98478009259,2015,8.52
"568","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC602","7/13/15",847,39.27971,-95.10509,10270104,4273.99658564815,2015,2.475
"569","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC602","10/12/15",912,39.27971,-95.10509,10270104,4365.01394675926,2015,0.605
"570","NEOSHO RIVER BASIN","SC","SC609","3/17/15",1012,37.973487,-95.40896,11070204,4156.05561342593,2015,0.645
"571","NEOSHO RIVER BASIN","SC","SC609","6/15/15",1005,37.973487,-95.40896,11070204,4246.05075231481,2015,1.255
"572","NEOSHO RIVER BASIN","SC","SC609","9/14/15",1005,37.973487,-95.40896,11070204,4337.05075231481,2015,1.085
"573","NEOSHO RIVER BASIN","SC","SC609","12/7/15",956,37.973487,-95.40896,11070204,4421.04450231481,2015,1.625
"574","NEOSHO RIVER BASIN","SC","SC610","3/17/15",1046,37.80417,-95.47138,11070204,4156.07922453704,2015,0.735
"575","NEOSHO RIVER BASIN","SC","SC610","3/17/15",1051,37.80417,-95.47138,11070204,4156.08269675926,2015,0.785
"576","NEOSHO RIVER BASIN","SC","SC610","6/15/15",1040,37.80417,-95.47138,11070204,4246.07505787037,2015,1.055
"577","NEOSHO RIVER BASIN","SC","SC610","9/14/15",1038,37.80417,-95.47138,11070204,4337.07366898148,2015,1.885
"578","NEOSHO RIVER BASIN","SC","SC610","9/14/15",1043,37.80417,-95.47138,11070204,4337.0771412037,2015,1.785
"579","NEOSHO RIVER BASIN","SC","SC610","12/7/15",1029,37.80417,-95.47138,11070204,4421.06741898148,2015,1.805
"580","MARAIS DES CYGNES RIVER BASIN","SC","SC616","3/18/15",1311,38.62265,-95.19721,10290101,4157.17991898148,2015,0.805
"581","MARAIS DES CYGNES RIVER BASIN","SC","SC616","6/16/15",1352,38.62265,-95.19721,10290101,4247.2083912037,2015,1.265
"582","MARAIS DES CYGNES RIVER BASIN","SC","SC616","9/15/15",1418,38.62265,-95.19721,10290101,4338.22644675926,2015,1.275
"583","MARAIS DES CYGNES RIVER BASIN","SC","SC616","12/8/15",1323,38.62265,-95.19721,10290101,4422.18825231482,2015,1.385
"584","LOWER ARKANSAS RIVER BASIN","SC","SC618","2/24/15",1456,37.10174,-97.96586,11060005,4135.25283564815,2015,1.365
"585","LOWER ARKANSAS RIVER BASIN","SC","SC618","8/25/15",1541,37.10174,-97.96586,11060005,4317.28408564815,2015,1.025
"586","LOWER ARKANSAS RIVER BASIN","SC","SC618","11/17/15",1539,37.10174,-97.96586,11060005,4401.28269675926,2015,0.725
"587","LOWER ARKANSAS RIVER BASIN","SC","SC619","2/24/15",1414,37.065114,-98.22056,11060004,4135.22366898148,2015,0.545
"588","LOWER ARKANSAS RIVER BASIN","SC","SC619","5/19/15",1642,37.065114,-98.22056,11060004,4219.32644675926,2015,1.285
"589","LOWER ARKANSAS RIVER BASIN","SC","SC619","8/25/15",1503,37.065114,-98.22056,11060004,4317.25769675926,2015,0.755
