"","a","b","phi"
"219",-3.20673941520331,0.0122635829916348,94.7283073964681
"220",-3.21637326518814,0.0136825783246702,94.0064302567084
"221",-3.19456305567289,0.0120764948634229,106.854665091242
"222",-3.13268291350182,0.0112265583849409,95.0285329488287
"223",-3.1276760441518,0.011452485376155,81.317182678995
"224",-3.14213571777951,0.0132477094166811,106.050403652304
"225",-3.18453970059905,0.00822396516819197,82.7864379040912
"226",-3.0622065274425,0.00877968346407794,72.8865827142722
"227",-3.02539247205022,-0.00171072543647444,71.4173775214605
"228",-3.09943320777535,0.00423858613697054,78.519505351118
"229",-3.14342541329504,0.0152676951314574,80.2723477762044
"230",-3.10041749025679,0.015981231777466,61.033392889361
"231",-3.09953278564927,0.0146023491945522,70.2090943642747
"232",-3.23044891851868,0.0183604203352707,84.0802671966588
"233",-3.32445455156917,0.0201628329611737,102.225787602532
"234",-3.31734579926722,0.0185971068940345,111.485593786416
"235",-3.33081241589244,0.014764396983111,124.421613627334
"236",-3.34764032364233,0.0162021835855161,74.9109568371945
"237",-3.2535670685238,0.0136851188728982,116.057066223731
"238",-3.29607224850628,0.0212585440363786,90.3249200309848
"239",-3.29323776970255,0.014923543616743,93.6693696543116
"240",-3.24083694942171,0.0168301006231862,96.5041918645308
"241",-3.20486392806858,0.00815720748933558,105.090356524233
"242",-3.10852991752509,0.00377777576482849,105.60227008574
"243",-3.14723201235689,0.0112080089343068,88.1058867421742
"244",-3.17961947311047,0.0085394011889343,83.5121451411387
"245",-3.10653083759445,0.00586410726049539,92.5006976245965
"246",-3.05063408920257,-0.00124198284523354,94.6295622921827
"247",-3.04940272943576,-0.00290736846838454,89.7428959100435
"248",-3.08256176561027,-0.00355365953510123,99.4251448121999
"249",-2.92192520232631,-0.010545758061049,89.3070458003028
"250",-2.95267856087016,0.00092665621712466,88.6513379919047
"251",-2.9097108902528,-0.0175686269413922,98.1906789838989
"252",-2.82827754331863,-0.0131300784802834,80.1197945053806
"253",-2.87513243381661,-0.0134449060944263,94.7963414450949
"254",-2.91704986781254,-0.0135150326246263,89.178491206995
"255",-2.9434257854718,0.000323724773373685,89.4530664123015
"256",-3.14076464690782,0.014079590874395,89.6170882288743
"257",-3.23664883295615,0.0151305693885398,100.435152448855
"258",-3.20020873653376,0.00689863356218801,101.022686342918
"259",-3.11651427311174,0.00880548480711081,109.195496286842
"260",-3.1818841522148,0.0127531016908408,109.495573054885
"261",-3.24064015609322,0.0218939064997071,110.626887830836
"262",-3.25880678343232,0.0207159280515242,82.0852548625758
"263",-3.24928619922224,0.0199591322251861,87.1196326099843
"264",-3.23177495591042,0.015431875359695,78.0780046092072
"265",-3.21204034779681,0.0131582917821277,85.6152090436511
