Scat,Site,Season,Year,Pack,Lat,Long,Bird,Carnivore,Domestic_cattle,Insect,Leporid,Other,Plant_matter,Reptile,Seeds_berries,Sciurid,Small_mammal,Trash,Ungulate,Ungulate_spp,Ungulate_age
269,NE,Summer,2018,Out,48.39671,-117.84442,0,0,0,0,0,0,15,0,80,0,5,0,0,NONE,NONE
277,NE,Summer,2018,Out,48.42088,-117.319,7,66,0,1,0,0,14,0,12,0,0,0,0,NONE,NONE
287,NE,Summer,2018,In,48.32765,-117.61515,0,0,0,0,90,0,10,0,0,0,0,0,0,NONE,NONE
290,NE,Summer,2018,Out,48.4001,-117.84415,0,0,0,15,0,0,50,0,10,0,23,0,2,Deer,A
301,NE,Summer,2018,In,48.15304,-117.42148,0,0,0,17,10,0,20,0,0,0,53,0,0,NONE,NONE
302,NE,Summer,2018,In,48.39492,-117.55839,0,0,0,0,92,0,8,0,0,0,0,0,0,NONE,NONE
313,NE,Summer,2018,In,48.32581,-117.61502,0,0,0,0,0,0,14,0,0,0,0,0,86,Ind,Y
316,NE,Summer,2018,Out,48.16728,-117.26423,0,0,0,0,0,0,60,0,0,0,40,0,0,NONE,NONE
321,NE,Summer,2018,Out,48.43509,-117.67119,4,0,0,3,0,0,7,0,0,0,86,0,0,NONE,NONE
323,NE,Summer,2018,In,48.47115,-117.57475,0,0,0,2,36,35,15,0,0,2,0,0,10,Ind,Y
327,NE,Summer,2018,Out,48.28498,-117.66621,11,0,0,0,0,0,4,0,1,1,4,0,79,Ind,Y
330,NE,Summer,2018,Out,48.35875,-117.681,0,0,0,1,0,0,2,0,1,0,96,0,0,NONE,NONE
331,NE,Summer,2018,In,48.46277,-117.92412,0,0,0,0,0,0,19,0,0,21,0,0,60,Ind,Y
335,NE,Summer,2018,In,48.53296,-117.488,0,0,0,0,57,0,43,0,0,0,0,0,0,NONE,NONE
338,NE,Summer,2018,Out,48.39634,-117.84328,2,0,0,2,0,0,6,0,15,0,0,0,75,Ind,Y
340,NE,Summer,2018,Out,48.39609,-117.83958,6,0,0,0,0,0,10,3,2,0,71,0,8,Ind,Y
341,NE,Summer,2018,Out,48.47455,-117.76671,0,0,0,0,0,0,6,0,24,0,0,0,70,Ind,Y
347,NE,Summer,2018,Out,48.17719,-117.26507,0,0,0,0,0,0,5,0,0,0,95,0,0,NONE,NONE
348,NE,Summer,2018,In,48.24619,-117.42376,0,0,0,0,73,0,25,0,0,0,0,0,2,Elk,Y
353,NE,Summer,2018,In,48.35041,-117.57086,0,0,0,1,2,0,40,0,0,0,27,0,30,Deer,Y
354,NE,Summer,2018,In,48.36832,-117.55695,0,0,0,0,0,0,11,0,0,5,84,0,0,NONE,NONE
356,NE,Summer,2018,Out,48.39218,-117.93589,0,0,0,4,0,0,16,0,18,0,12,50,0,NONE,NONE
364,NE,Summer,2018,Out,48.39779,-117.84539,0,0,0,0,0,0,45,0,55,0,0,0,0,NONE,NONE
368,NE,Summer,2018,Out,48.17306,-117.26783,0,0,0,0,60,0,40,0,0,0,0,0,0,NONE,NONE
369,NE,Summer,2018,Out,48.17441,-117.27331,0,6,0,2,0,0,9,0,5,0,78,0,0,NONE,NONE
370,NE,Summer,2018,Out,48.3957,-117.8384,0,0,0,0,0,0,25,0,5,0,70,0,0,NONE,NONE
377,NE,Summer,2018,Out,48.38524,-117.93611,0,0,0,5,0,0,15,0,5,0,10,0,65,Ind,Y
380,NE,Summer,2018,In,48.45741,-117.34857,0,0,0,0,0,0,30,0,70,0,0,0,0,NONE,NONE
398,NE,Summer,2018,Out,48.39596,-117.84329,0,0,0,0,0,0,10,0,35,0,0,0,55,Ind,Y
405,NE,Summer,2018,Out,48.34375,-117.67464,0,0,0,0,0,0,12,0,0,0,88,0,0,NONE,NONE
406,NE,Summer,2018,Out,48.00278,-118.20961,0,0,0,4,0,0,9,0,0,0,2,0,85,Ind,Y
414,NE,Summer,2018,Out,48.22956,-117.93595,0,0,0,0,0,0,80,0,0,5,0,0,15,Elk,A
415,NE,Summer,2018,In,48.45412,-117.34639,0,0,0,0,0,0,15,0,50,0,35,0,0,NONE,NONE
417,NE,Summer,2018,In,48.44039,-118.02608,0,0,0,0,0,0,6,0,3,0,91,0,0,NONE,NONE
419,NE,Summer,2018,Out,48.35129,-117.8743,0,0,0,0,0,0,4,0,0,0,96,0,0,NONE,NONE
420,NE,Summer,2018,Out,48.39263,-117.936,0,0,0,0,0,0,11,0,8,0,79,0,2,Ind,Y
421,NE,Summer,2018,In,48.34806,-117.58226,0,0,0,0,0,0,4,0,0,0,20,0,76,Elk,A
424,NE,Summer,2018,In,48.35546,-117.57443,0,0,0,3,0,0,2,0,0,10,0,0,85,Ind,Y
431,NE,Summer,2018,Out,48.16109,-117.25897,0,0,0,0,0,0,8,0,0,0,92,0,0,NONE,NONE
433,NE,Summer,2018,Out,48.50083,-117.93651,0,0,0,5,0,0,20,0,0,0,0,0,75,Ind,Y
436,NE,Summer,2018,Out,48.20928,-117.34501,0,0,0,4,0,0,6,0,21,0,37,0,32,Ind,Y
437,NE,Summer,2018,Out,48.2209,-117.3363,0,0,0,30,0,0,11,0,9,0,50,0,0,NONE,NONE
438,NE,Summer,2018,Out,48.17641,-117.27171,0,0,0,2,0,0,12,0,0,0,84,2,0,NONE,NONE
439,NE,Summer,2018,Out,48.17407,-117.2669,0,7,0,0,0,0,5,0,0,0,60,0,28,Elk,Y
441,NE,Summer,2018,Out,48.50059,-117.937,1,0,0,3,0,0,81,0,8,0,0,0,7,Ind,Y
443,NE,Summer,2018,Out,48.40061,-117.84403,0,0,0,0,0,0,10,0,30,0,60,0,0,NONE,NONE
445,NE,Summer,2018,In,48.46251,-117.92726,2,0,0,0,0,0,6,0,0,0,83,9,0,NONE,NONE
446,NE,Summer,2018,In,48.15393,-117.41774,0,0,0,0,53,0,17,0,30,0,0,0,0,NONE,NONE
447,NE,Summer,2018,In,48.51987,-117.51406,0,0,0,2,3,0,31,0,1,0,33,5,25,Elk,A
448,NE,Summer,2018,In,48.46245,-117.92726,6,0,0,0,0,0,6,0,0,0,54,4,30,Ind,Y
449,NE,Summer,2018,In,48.39588,-117.54547,0,0,0,0,0,0,43,0,0,47,10,0,0,NONE,NONE
450,NE,Summer,2018,In,48.35137,-117.6015,0,0,0,0,0,0,0,0,0,0,15,0,85,Ind,Y
